NAME,STAT,LEVEL,LAT,LON,TIME,WIND,PR
Franklin,TROPICAL STORM,2,16.40,-83.00,08/07 12:00 AM,35,1006
Franklin,TROPICAL STORM,2,17.10,-84.20,08/07 6:00 AM,40,1005
Franklin,TROPICAL STORM,2,17.70,-85.10,08/07 12:00 PM,50,999
Franklin,TROPICAL STORM,2,18.60,-85.90,08/07 6:00 PM,50,998
Franklin,TROPICAL STORM,2,19.10,-87.30,08/08 12:00 AM,50,995
Franklin,TROPICAL STORM,2,19.30,-88.50,08/08 6:00 AM,45,998
Franklin,TROPICAL STORM,2,19.60,-89.60,08/08 12:00 PM,40,1001
Franklin,TROPICAL STORM,2,20.20,-90.30,08/08 6:00 PM,35,1001
Franklin,TROPICAL STORM,2,20.30,-91.30,08/09 12:00 AM,45,996
Franklin,TROPICAL STORM,2,20.40,-92.70,08/09 6:00 AM,55,994
Franklin,TROPICAL STORM,2,20.20,-93.90,08/09 12:00 AM,60,985
Franklin,HURRICANE-1,3,20.10,-94.90,08/09 6:00 PM,65,984
Franklin,HURRICANE-1,3,20.20,-96.10,08/10 12:00 AM,75,985
Franklin,TROPICAL STORM,2,19.90,-97.60,08/10 6:00 AM,60,992
Gert,TROPICAL DEPRESSION,1,25.30,-70.30,08/13 12:00 AM,30,1011
Gert,TROPICAL DEPRESSION,1,26.50,-70.90,08/13 6:00 AM,30,1011
Gert,TROPICAL DEPRESSION,1,27.40,-71.50,08/13 12:00 PM,30,1011
Gert,TROPICAL STORM,2,28.10,-71.70,08/13 6:00 PM,35,1011
Gert,TROPICAL STORM,2,28.80,-71.90,08/14 12:00 AM,40,1009
Gert,TROPICAL STORM,2,29.70,-72.20,08/14 6:00 AM,40,1009
Gert,TROPICAL STORM,2,30.30,-72.20,08/14 12:00 PM,50,1002
Gert,TROPICAL STORM,2,30.60,-72.30,08/14 6:00 PM,60,992
Gert,HURRICANE-1,3,31.20,-72.30,08/15 12:00 AM,65,986
Gert,HURRICANE-1,3,31.80,-72.50,08/15 6:00 AM,65,986
Gert,HURRICANE-1,3,32.80,-72.00,08/15 12:00 PM,65,986
Gert,HURRICANE-1,3,33.70,-71.20,08/15 6:00 PM,70,981
Gert,HURRICANE-1,3,34.80,-70.30,08/16 12:00 AM,75,979
Gert,HURRICANE-1,3,36.00,-68.40,08/16 6:00 AM,80,975
Gert,HURRICANE-1,3,37.40,-65.70,08/16 12:00 PM,80,975
Gert,HURRICANE-2,4,38.70,-62.40,08/16 6:00 PM,85,970
Gert,HURRICANE-2,4,40.10,-58.40,08/17 12:00 AM,90,967
Gert,HURRICANE-2,4,41.70,-54.00,08/17 6:00 AM,85,968
Gert,HURRICANE-1,3,43.20,-50.00,08/17 12:00 PM,70,975
Harvey,TROPICAL STORM,2,13.00,-55.80,08/17 6:00 PM,35,1004
Harvey,TROPICAL STORM,2,13.00,-57.40,08/18 12:00 AM,35,1005
Harvey,TROPICAL STORM,2,13.10,-59.10,08/18 6:00 AM,35,1004
Harvey,TROPICAL STORM,2,13.10,-61.30,08/18 12:00 PM,35,1005
Harvey,TROPICAL STORM,2,13.40,-62.90,08/18 6:00 PM,35,1005
Harvey,TROPICAL STORM,2,13.70,-64.10,08/19 12:00 AM,35,1005
Harvey,TROPICAL STORM,2,13.80,-65.90,08/19 6:00 AM,35,1005
Harvey,TROPICAL STORM,2,13.90,-68.10,08/19 12:00 PM,35,1007
Harvey,TROPICAL DEPRESSION,1,14.10,-70.00,08/19 6:00 PM,30,1007
Harvey,TROPICAL DEPRESSION,1,21.50,-92.50,08/23 12:00 PM,30,1006
Harvey,TROPICAL DEPRESSION,1,21.60,-92.60,08/23 6:00 PM,30,1005
Harvey,TROPICAL DEPRESSION,1,21.90,-92.60,08/24 12:00 AM,30,1002
Harvey,TROPICAL STORM,2,23.20,-92.80,08/24 6:00 AM,40,995
Harvey,TROPICAL STORM,2,24.00,-93.30,08/24 12:00 PM,55,982
Harvey,HURRICANE-1,3,24.40,-93.60,08/24 6:00 PM,75,979
Harvey,HURRICANE-1,3,24.70,-93.90,08/24 6:00 PM,75,976
Harvey,HURRICANE-1,3,25.20,-94.60,08/25 12:00 AM,75,973
Harvey,HURRICANE-2,4,25.90,-95.40,08/25 6:00 AM,90,967
Harvey,HURRICANE-2,4,26.70,-96.00,08/25 12:00 PM,95,947
